,k,DIC,chain
0,10,66043038.15,1
1,10,36253620.31,2
2,10,28160375.24,3
3,11,30678810.51,1
4,11,569704103.05,2
5,11,66134227.01,3
6,2,32956735.5,1
7,2,32503130.01,2
8,2,32432355.12,3
9,3,35087961.48,1
10,3,35342551.87,2
11,3,35581768.31,3
12,4,29566319.33,1
13,4,29955113.13,2
14,4,28654318.44,3
15,5,27707074.66,1
16,5,27694365.37,2
17,5,27428759.11,3
18,6,27547695.06,1
19,6,26689062.53,2
20,6,26918121.91,3
21,7,26979122.38,1
22,7,27739558.81,2
23,7,27695923.04,3
24,8,27963143.93,1
25,8,27880243.1,2
26,8,71105716.5,3
27,9,356688867.35,1
28,9,460913531.18,2
29,9,310802317.81,3
