k,count,mean,std,min,25%,50%,75%,max
10,3.0,43485677.9,19949963.158536907,28160375.24,32206997.775,36253620.31,51148329.230000004,66043038.15
11,3.0,222172380.18999997,301492944.2546326,30678810.51,48406518.76,66134227.01,317919165.03,569704103.05
2,3.0,32630740.210000005,284529.3800124439,32432355.12,32467742.565,32503130.01,32729932.755000003,32956735.5
3,3.0,35337427.22,246943.2988904143,35087961.48,35215256.675,35342551.87,35462160.09,35581768.31
4,3.0,29391916.966666665,667704.1595162008,28654318.44,29110318.884999998,29566319.33,29760716.229999997,29955113.13
5,3.0,27610066.38,157145.2389645194,27428759.11,27561562.240000002,27694365.37,27700720.015,27707074.66
6,3.0,27051626.5,444612.26035372686,26689062.53,26803592.22,26918121.91,27232908.485,27547695.06
7,3.0,27471534.74333333,426999.38147321966,26979122.38,27337522.71,27695923.04,27717740.924999997,27739558.81
8,3.0,42316367.843333334,24932341.75109189,27880243.1,27921693.515,27963143.93,49534430.215,71105716.5
9,3.0,376134905.44666666,76921748.50519308,310802317.81,333745592.58000004,356688867.35,408801199.265,460913531.18
